Kode	Tekst
DF187	Sen psykotisk eller residual tilstand forårsaget af brug af flygtige opløsningsmidler
DF1870	Flashbacks som følge af brug af flygtige opløsningsmidler
DF1871	Personligheds- eller adfærdsforstyrrelse forårsaget af brug af flygtige opløsningsmidler
DF1872	Residual affektiv sindslidelse som følge af brug af flygtige opløsningsmidler
DF1873	Demens som følge af brug af flygtige opløsningsmidler
DF1874	Anden vedvarende kognitiv forstyrrelse som følge af brug af flygtige opløsningsmidler
DF1875	Sent indsættende psykotisk tilstand som følge af brug af flygtige opløsningsmidler
DF188	Anden psykisk lidelse eller adfærdsforstyrrelse forårsaget af brug af flygtige opløsningsmidler
DF189	Psykisk lidelse eller adfærdsforstyrrelse forårsaget af brug af flygtige opløsningsmidler UNS
DF19	Psykiske lidelser og adfærdsmæssige forstyrrelser forårsaget af brug af multiple eller andre psykoaktive stoffer
DF190	Akut intoksikation med multiple eller andre psykoaktive stoffer
DF1900	Akut ukompliceret intoksikation med flere eller andre psykoaktive stoffer
DF1901	Akut intoksikation med flere eller andre psykoaktive stoffer med fysisk traume
DF1902	Akut intoksikation med flere eller andre psykoaktive stoffer med andre somatiske komplikationer
DF1903	Akut intoksikation med flere eller andre psykoaktive stoffer med delir
DF1904	Akut intoksikation med flere eller andre psykoaktive stoffer med perceptionsforvrængninger
DF1905	Akut intoksikation med flere eller andre psykoaktive stoffer med koma
DF1906	Akut intoksikation med flere eller andre psykoaktive stoffer med kramper
DF191	Skadelig brug af flere eller andre psykoaktive stoffer
DF192	Afhængighedssyndrom ved brug af flere eller andre psykoaktive stoffer
DF1920	Afhængighedssyndrom ved brug af flere eller andre psykoaktive stoffer men afholdende
DF1921	Afhængighedssyndrom ved brug af flere eller andre psykoaktive stoffer men afholdende i beskyttet miljø
DF1922	Afhængighedssyndrom ved brug af flere eller andre psykoaktive stoffer i vedligeholdelses- eller substitutionsbehandling
DF1923	Afhængighedssyndrom ved brug af flere eller andre psykoaktive stoffer men afholdende under aversiv medikamentel behandling
DF1924	Afhængighedssyndrom ved brug af flere eller andre psykoaktive stoffer aktivt brugende
DF1925	Afhængighedssyndrom ved brug af flere eller andre psykoaktive stoffer med kontinuerligt brug
DF1926	Afhængighedssyndrom ved brug af flere eller andre psykoaktive stoffer med episodisk brug
DF193	Abstinenstilstand som følge af brug af flere eller andre psykoaktive stoffer
DF1930	Abstinenstilstand som følge af brug af flere eller andre psykoaktive stoffer uden kramper
DF1931	Abstinenstilstand forårsaget af brug af flere eller andre psykoaktive stoffer med kramper
DF194	Delirøs abstinenstilstand som følge af brug af flere eller andre psykoaktive stoffer
DF1940	Delirøs abstinenstilstand forårsaget af brug af flere eller andre psykoaktive stoffer uden kramper
DF1941	Delirøs abstinenstilstand forårsaget af brug af flere eller andre psykoaktive stoffer med kramper
DF195	Psykotisk tilstand ved brug af flere eller andre psykoaktive stoffer
DF1950	Skizofrenilignende psykotisk tilstand ved brug af flere eller andre psykoaktive stoffer
DF1951	Paranoid psykotisk tilstand ved brug af flere eller andre psykoaktive stoffer
DF1952	Hallucinatorisk psykotisk tilstand ved brug af flere eller andre psykoaktive stoffer
DF1953	Polymorf psykotisk tilstand ved brug af flere eller andre psykoaktive stoffer
DF1954	Psykotisk tilstand med depressive symptomer ved brug af flere eller andre psykoaktive stoffer
DF1955	Psykotisk tilstand med maniske symptomer ved brug af flere eller andre psykoaktive stoffer
DF1956	Blandet psykotisk tilstand ved brug af flere eller andre psykoaktive stoffer
DF196	Amnestisk syndrom som følge af brug af flere eller andre psykoaktive stoffer
DF197	Sen psykotisk eller residual tilstand forårsaget af brug af flere eller andre psykoaktive stoffer
DF1970	Flashbacks som følge af brug af flere eller andre psykoaktive stoffer
DF1971	Personligheds- eller adfærdsforstyrrelser forårsaget af brug af flere eller andre psykoaktive stoffer
DF1972	Residual affektiv sindslidelse som følge af brug af flere eller andre psykoaktive stoffer
DF1973	Demens som følge af brug af flere eller andre psykoaktive stoffer
DF1974	Anden vedvarende kognitiv forstyrrelse som følge af brug af flere eller andre psykoaktive stoffer
DF1975	Sent indsættende psykotisk tilstand som følge af brug af flere eller andre psykoaktive stoffer
DF198	Anden psykisk lidelse eller adfærdsforstyrrelse som følge af brug af flere eller andre psykoaktive stoffer
DF199	Psykisk lidelse eller adfærdsforstyrrelse som følge af brug af flere eller andre psykoaktive stoffer UNS
	Skizofreni, skizotypisk sindslidelse, paranoide psykoser, akutte og forbigående psykoser samt skizoaffektive psykoser [DF20-DF29]
DF20	Skizofreni
DF200	Paranoid skizofreni
DF2000	Kontinuerlig paranoid skizofreni
DF2001	Episodisk paranoid skizofreni med fremadskridende defekt
DF2002	Episodisk paranoid skizofreni med stabil defekt
DF2003	Episodisk remitterende paranoid skizofreni
DF2004	Paranoid skizofreni med inkomplet remission
DF2005	Paranoid skizofreni med komplet remission
DF2008	Paranoid skizofreni med andet forløb
DF2009	Paranoid skizofreni med ubestemt forløb
DF201	Hebefren skizofreni
DF2010	Kontinuerlig hebefren skizofreni
DF2011	Episodisk hebefren skizofreni med fremadskridende defekt
DF2012	Episodisk hebefren skizofreni med stabil defekt
DF2013	Episodisk remitterende hebefren skizofreni
DF2014	Hebefren skizofreni med inkomplet remission
DF2015	Hebefren skizofreni med komplet remission
DF2018	Hebefren skizofreni med andet forløb
DF2019	Hebefren skizofreni med ubestemt forløb
DF202	Kataton skizofreni
DF2020	Kontinuerlig kataton skizofreni
DF2021	Episodisk kataton skizofreni med fremadskridende defekt
DF2022	Episodisk kataton skizofreni med stabil defekt
DF2023	Episodisk remitterende kataton skizofreni
DF2024	Kataton skizofreni med inkomplet remission
DF2025	Kataton skizofreni med komplet remission
DF2028	Kataton skizofreni med andet forløb
DF2029	Kataton skizofreni med forløb ubestemt
DF203	Udifferentieret skizofreni
DF2030	Kontinuerlig udifferentieret skizofreni
DF2031	Episodisk udifferentieret skizofreni med fremadskridende defekt
DF2032	Episodisk udifferentieret skizofreni med stabil defekt
DF2033	Episodisk remitterende udifferentieret skizofreni
DF2034	Udifferentieret skizofreni med inkomplet remission
DF2035	Udifferentieret skizofreni med komplet remission
DF2038	Udifferentieret skizofreni med andet forløb
DF2039	Udifferentieret skizofreni med ubestemt forløb
DF204	Post-skizofren depression
DF2040	Kontinuerlig post-skizofren depression
DF2041	Episodisk post-skizofren depression med fremadskridende defekt
DF2042	Episodisk post-skizofren depression med stabil defekt
DF2043	Episodisk remitterende post-skizofren depression
DF2044	Post-skizofren depression med inkomplet remission
DF2045	Post-skizofren depression med komplet remission
DF2048	Post-skizofren depression med andet forløb
DF2049	Post-skizofren depression med ubestemt forløb
DF205	Skizofren residual-tilstand
DF2050	Kontinuerlig skizofren residualtilstand
DF2051	Episodisk skizofren residualtilstand med fremadskridende defekt
DF2052	Episodisk skizofren residualtilstand med stabil defekt
DF2053	Episodisk remitterende skizofren residualtilstand
DF2054	Skizofren residualtilstand med inkomplet remission
DF2055	Skizofren residualtilstand med komplet remission
DF2058	Skizofren residualtilstand med andet forløb
DF2059	Skizofren residualtilstand med ubestemt forløb
DF206	Simpel skizofreni
DF2060	Kontinuerlig simpel skizofreni
DF2061	Episodisk simpel skizofreni med fremadskridende defekt
DF2062	Episodisk simpel skizofreni med stabil defekt
DF2063	Episodisk remitterende simpel skizofreni
DF2064	Simpel skizofreni med inkomplet remission
DF2065	Simpel skizofreni med komplet remission
DF2068	Simpel skizofreni med andet forløb
DF2069	Simpel skizofreni med ubestemt forløb
DF208	Skizofreni af anden type
DF2080	Kontinuerlig skizofreni af anden type
DF2081	Episodisk skizofreni af anden type med fremadskridende defekt
DF2082	Episodisk skizofreni af anden type med stabil defekt
DF2083	Episodisk remitterende skizofreni af anden type
DF2084	Skizofreni af anden type med inkomplet remission
DF2085	Skizofreni af anden type med komplet remission
DF2088	Skizofreni af anden type med andet forløb
DF2089	Skizofreni af anden type med ubestemt forløb
DF209	Skizofreni UNS
DF2090	Kontinuerlig skizofreni UNS
DF2091	Episodisk skizofreni UNS med fremadskridende defekt
DF2092	Episodisk skizofreni UNS med stabil defekt
DF2093	Episodisk remitterende skizofreni UNS
DF2094	Skizofreni UNS med inkomplet remission
DF2095	Skizofreni UNS med komplet remission
DF2098	Skizofreni UNS med andet forløb
DF2099	Skizofreni UNS med ubestemt forløb
DF21	Skizotypisk sindslidelse
DF219	Skizotypisk sindslidelse UNS
DF22	Paranoide psykoser
DF220	Enkel paranoia
DF228	Anden paranoid psykose
DF229	Paranoid psykose UNS
DF23	Akutte og forbigående psykoser
DF230	Akut polymorf non-skizofreniform psykose
DF2300	Akut polymorf non-skizofreniform non-reaktiv psykose
DF2301	Akut polymorf non-skizofreniform reaktiv psykose
DF231	Akut polymorf skizofreniform psykose
DF2310	Akut polymorf skizofreniform non-reaktiv psykose
DF2311	Akut polymorf skizofreniform reaktiv psykose
DF232	Akut skizofreniform psykose
DF2320	Akut skizofreniform non-reaktiv psykose
DF2321	Akut skizofreniform reaktiv psykose
DF233	Akut paranoid psykose
DF2330	Akut paranoid non-reaktiv psykose
DF2331	Akut paranoid reaktiv psykose
DF238	Anden akut eller forbigående psykose
DF2380	Anden non-reaktiv psykose
DF2381	Anden reaktiv psykose
DF239	Akut eller forbigående psykose UNS
DF2390	Akut eller forbigående non-reaktiv psykose UNS
DF2391	Akut eller forbigående reaktiv psykose UNS
DF24	Induceret psykose
DF249	Induceret paranoid psykose
DF25	Skizoaffektive psykoser
DF250	Skizoaffektiv psykose af manisk type
DF2500	Skizoaffektiv psykose af manisk type med maniske og skizofrene symptomer fuldt ud samtidige
DF2501	Skizoaffektiv psykose af manisk type med skizofrene symptomer ud over varigheden af de maniske symptomer
DF251	Skizoaffektiv psykose af depressiv type
DF2510	Skizoaffektiv psykose af depressiv type med depressive og skizofrene symptomer fuldt ud samtidige
DF2511	Skizoaffektiv psykose af depressiv type med skizofrene symptomer ud over varigheden af de depressive symptomer
DF252	Skizoaffektiv psykose af blandet manisk-depressiv type
DF2520	Skizoaffektiv psykose af blandet manisk-depressiv type med affektive og skizofrene symptomer fuldt ud samtidige
DF2521	Skizoaffektiv psykose af blandet manisk-depressiv type med skizofrene symptomer ud over varigheden af de affektive symptomer
DF258	Skizoaffektiv psykose af anden type
DF2580	Skizoaffektiv psykose af anden type med affektive og skizofrene symptomer fuldt ud samtidige
DF2581	Skizoaffektiv psykose af anden type med skizofrene symptomer ud over varigheden af de affektive symptomer
DF259	Skizoaffektiv psykose UNS
DF2590	Skizoaffektiv psykose UNS med affektive og skizofrene symptomer fuldt ud samtidige
DF2591	Skizoaffektiv psykose UNS med skizofrene symptomer ud over varigheden af de affektive symptomer
DF28	Andre ikke-organiske psykoser
DF289	Anden ikke-organisk psykose UNS
DF29	Ikke specificeret ikke-organisk psykose
DF299	Ikke-organisk psykose UNS
	Affektive sindslidelser [DF30-DF39]
DF30	Manisk enkeltepisode
DF300	Hypoman enkeltepisode
DF301	Manisk enkeltepisode uden psykotiske symptomer
DF302	Manisk enkeltepisode med psykotiske symptomer
DF3020	Manisk enkeltepisode med stemningskongruente psykotiske symptomer
DF3021	Manisk enkeltepisode med stemningsinkongruente psykotiske symptomer
DF308	Manisk enkeltepisode af anden type
DF309	Manisk enkeltepisode UNS
DF309A	Mani UNS
DF31	Bipolar affektiv sindslidelse
DF310	Bipolar affektiv sindslidelse i hypoman episode
DF311	Bipolær affektiv sindslidelse i manisk episode uden psykotiske symptomer
DF312	Bipolar affektiv sindslidelse i manisk episode med psykotiske symptomer
DF3120	Bipolær affektiv sindslidelse i manisk episode med stemningskongruente psykotiske symptomer
DF3121	Bipolær affektiv sindslidelse i manisk episode med stemningsinkongruente psykotiske symptomer
DF313	Bipolar affektiv sindslidelse i lettere eller moderat depressiv episode
DF314	Bipolær affektiv sindslidelse i svær depressiv episode uden psykotiske symptomer
DF315	Bipolær affektiv sindslidelse i svær depressiv episode med psykotiske symptomer
DF3150	Bipolær affektiv sindslidelse i svær depressiv episode med stemningskongruente psykotiske symptomer
DF3151	Bipolær affektiv sindslidelse i svær depressiv episode med stemningsinkongruente psykotiske symptomer
DF316	Bipolar affektiv sindslidelse i episode med blandingstilstand
DF317	Bipolar affektiv sindslidelse i remission
DF318	Anden form for bipolar affektiv sindslidelse
DF319	Bipolar affektiv sindslidelse UNS
DF32	Depressiv enkeltepisode
DF320	Depressiv enkeltepisode af lettere grad
DF3200	Depressiv non-melankoliform enkeltepisode af lettere grad
DF3201	Depressiv melankoliform enkeltepisode af lettere grad
DF321	Depressiv enkeltepisode af moderat grad
DF3210	Depressiv non-melankoliform enkeltepisode af moderat grad
DF3211	Depressiv melankoliform enkeltepisode af moderat grad
DF322	Depressiv enkeltepisode af svær grad uden psykotiske symptomer
DF323	Depressiv enkeltepisode af svær grad med psykotiske symptomer
DF3230	Depressiv enkeltepisode af svær grad med stemningskongruente psykotiske symptomer
DF3231	Depressiv enkeltepisode af svær grad med stemningsinkongruente psykotiske symptomer
DF328	Depressiv enkeltepisode af anden type
DF329	Depressiv enkeltepisode UNS
DF33	Periodisk depression
DF330	Periodisk depression i episode af lettere grad
DF3300	Periodisk non-melankoliform depression i episode af lettere grad
DF3301	Periodisk melankoliform depression i episode af lettere grad
DF331	Periodisk depression i episode af moderat grad
DF3310	Periodisk non-melankoliform depression i episode af moderat grad
DF3311	Periodisk melankoliform depression i episode af moderat grad
DF332	Periodisk depression i episode af svær grad uden psykotiske symptomer
DF333	Periodisk depression i episode af svær grad med psykotiske symptomer
DF3330	Periodisk depression i episode af svær grad med stemningskongruente psykotiske symptomer
DF3331	Periodisk depression i episode af svær grad med stemningsinkongruente psykotiske symptomer
DF334	Periodisk depression i remission
DF338	Periodisk depression af anden type
DF339	Periodisk depression UNS
DF34	Vedvarende affektive tilstande
DF340	Cyklotymi
DF3400	Cyklotym personlighedsstruktur
DF3401	Cyklotym tilstand
DF341	Dystymi
DF3410	Depressiv personlighedsstruktur
DF3411	Kronisk lettere depressionstilstand
DF348	Kronisk forstemningstilstand af anden type
DF349	Kronisk forstemningstilstand UNS
DF38	Andre affektive sindslidelser eller tilstande
DF380	Anden affektiv sindslidelse, enkeltepisode
DF3800	Anden affektiv sindslidelse, enkeltepisode med blandingstilstand
DF381	Anden periodisk affektiv sindslidelse
DF3810	Affektiv sindslidelse med tilbagevendende, kortvarige depressive episoder
DF388	Anden affektiv sindslidelse eller tilstand
DF39	Ikke specificeret affektiv sindslidelse eller tilstand
DF399	Affektiv sindslidelse UNS
	Nervøse og stress-relaterede tilstande samt tilstande med psykisk betingede legemlige symptomer [DF40-DF48]
DF40	Fobiske angsttilstande
DF400	Agorafobi
DF4000	Agorafobi uden panikangst
DF4001	Agorafobi med panikangst
DF401	Socialfobi
DF402	Enkelfobi
DF402A	Parasitofobi
DF408	Fobisk angst af anden type
DF408A	Venerofobi
DF409	Fobisk angst UNS
DF41	Andre angsttilstande
DF410	Panikangst
DF4100	Moderat panikangst
DF4101	Svær panikangst
DF411	Generaliseret angst
DF412	Lettere angst-depressionstilstand
DF413	Anden blandet angsttilstand
DF418	Anden angsttilstand
DF418A	Fødselsangst
DF418B	Angsthysteri
DF419	Angsttilstand UNS
DF42	Obsessiv-kompulsiv tilstand
DF420	Overvejende obsessiv tilstand
DF421	Overvejende kompulsiv tilstand
DF422	Blandet obsessiv-kompulsiv tilstand
DF428	Anden obsessiv-kompulsiv tilstand
DF429	Obsessiv-kompulsiv tilstand UNS
DF43	Reaktioner på svær belastning og tilpasningsreaktioner
DF430	Akut belastningsreaktion
DF4300	Let akut belastningsreaktion
DF4301	Moderat akut belastningsreaktion
DF4302	Svær akut belastningsreaktion
DF431	Posttraumatisk belastningsreaktion
DF432	Tilpasningsreaktion
DF4320	Kortvarig depressiv tilpasningsreaktion
DF4321	Langvarig depressiv tilpasningsreaktion
DF4322	Blandet angst-depressiv tilpasningsreaktion
DF4323	Tilpasningsreaktion med andre emotionelle symptomer
DF4324	Tilpasningsreaktion med overvejende adfærdsforstyrrelse
DF4325	Tilpasningsreaktion med adfærdssymptomer og emotionelle symptomer
DF4328	Anden tilpasningsreaktion
DF438	Anden belastningsreaktion
DF439	Belastningsreaktion UNS
DF44	Dissociative tilstande og forstyrrelser
DF440	Dissociativ amnesi
DF441	Dissociativ fugue
DF442	Dissociativ stupor
DF443	Dissociativ trance- eller besættelsestilstand
DF444	Dissociativ bevægelsesforstyrrelse
DF445	Dissociative kramper
DF446	Dissociativ sanseforstyrrelse
DF446A	Psykogent høretab
DF447	Blandet dissociativ tilstand
DF448	Anden dissociativ tilstand eller forstyrrelse
DF4480	Gansers syndrom
DF4481	Multipel personlighed
DF4482	Forbigående dissociativ tilstand i barndom eller adolescens
DF4488	Anden dissociativ tilstand
DF4488A	Søvnrelateret dissociativ sygdom
DF449	Dissociativ tilstand eller forstyrrelse UNS
DF45	Somatoforme tilstande
DF450	Somatiseringstilstand
DF451	Udifferentieret somatoform tilstand
DF452	Helbredsangst
DF452A	Dysmorfofobi
DF453	Somatoform autonom dysfunktion
DF4530	Somatoform autonom dysfunktion i det kardiovaskulære system
DF4531	Somatoform autonom dysfunktion i det øvre gastrointestinale system
DF4532	Somatoform autonom dysfunktion i det nedre gastrointestinale system
DF4533	Somatoform autonom dysfunktion i det respiratoriske system
DF4534	Somatoform autonom dysfunktion i det urogenitale system
DF4538	Somatoform autonom dysfunktion i andet organ eller system
DF454	Vedvarende somatoform smertetilstand
DF458	Anden somatoform tilstand
DF459	Somatoform tilstand UNS
DF48	Andre nervøse tilstande
DF480	Neurasteni
DF481	Depersonalisations-derealisations syndrom
DF488	Anden nervøs tilstand
DF489	Nervøs tilstand UNS
	Adfærdsændringer forbundet med fysiologiske forstyrrelser og fysiske faktorer [DF50-DF59]
DF50	Spiseforstyrrelser
DF500	Nervøs spisevægring
DF501	Atypisk nervøs spisevægring
DF502	Nervøs spiseanfaldstilbøjelighed
DF503	Atypisk nervøs spiseanfaldstilbøjelighed
DF504	Trøstespisning
DF505	Opkastning forbundet med anden psykisk forstyrrelse
DF508	Anden spiseforstyrrelse
DF508A	Tvangsoverspisning (BED)
DF509	Spiseforstyrrelse UNS
DF51	Ikke-organiske søvnforstyrrelser
DF510	Ikke-organisk søvnløshed
DF5100	Søvnløshed UNS
DF5101	Akut søvnløshed
DF5102	Paradoks søvnløshed
DF5103	Psykofysiologisk søvnløshed
DF5104	Idiopatisk søvnløshed
DF5105	Søvnløshed betinget af mental sygdom
DF511	Ikke-organisk øget søvntrang
DF5110	Hypersomni uden kendt årsag
DF5111	Adfærdsbetinget utilstrækkelig søvn
DF512	Ikke-organisk søvnrytmeforstyrrelse
DF5120	Forstyrret søvnrytme UNS
DF5121	Forstyrret søvnrytme på grund af tidszoneskift
DF5122	Forstyrret søvnrytme på grund af skifteholdsarbejde
DF5123	Forstyrret søvnrytme på grund af forsinket søvntid
DF513	Søvngængeri
DF514	Søvnrædsel
DF515	Natlige mareridt
DF518	Anden form for ikke-organisk søvnforstyrrelse
DF518A	Eksternt betinget søvnforstyrrelse UNS
DF519	Ikke-organisk søvnforstyrrelse UNS
DF52	Ikke-organiske seksuelle funktionsforstyrrelser
DF520	Nedsat eller manglende seksuallyst
DF521	Seksuel aversion eller manglende seksuel lystfølelse
DF5210	Seksuel aversion
DF5211	Manglende seksuel lystfølelse
DF522	Ikke-organisk genital dysfunktion
DF522A	Psykogen impotens
DF523	Hæmmet orgasme
DF524	Præmatur ejakulation
DF525	Ikke-organisk vaginisme
DF526	Ikke-organisk dyspareuni
DF527	Øget seksualdrift
DF528	Anden ikke-organisk seksuel dysfunktion
DF529	Ikke-organisk seksuel dysfunktion UNS
DF53	Psykiske lidelser i barselsperioden IKA
DF530	Lettere psykisk lidelse i barselsperioden IKA
DF530A	Barselsdepression
DF531	Svær psykisk lidelse i barselsperioden IKA
DF538	Anden psykisk lidelse i barselsperioden IKA
DF539	Psykisk lidelse i barselsperioden UNS
DF54	Psykiske faktorer forbundet med sygdomme klassificeret andetsteds
DF549	Psykiske faktorer forbundet med sygdom klassificeret andetsteds
DF55	Misbrug af ikke-afhængighedsskabende stoffer
DF550	Misbrug af antidepressiva
DF551	Misbrug af laksantia
DF552	Misbrug af ikke-psykoaktive analgetika
DF553	Misbrug af antacida
DF554	Misbrug af vitaminer
DF555	Misbrug af steroider eller hormoner
DF556	Misbrug af naturmedicin
DF558	Misbrug af andre ikke-afhængighedsskabende stoffer
DF559	Misbrug af ikke-afhængighedsskabende stoffer UNS
DF59	Adfærdsændringer forbundet med fysiologiske og fysiske faktorer uden nærmere specificering
DF599	Adfærdsændring UNS forbundet med fysiologisk eller fysisk faktor
	Forstyrrelser i personlighedsstruktur og adfærd i voksenalderen [DF60-DF69]
DF60	Specifikke forstyrrelser af personlighedsstrukturen
DF600	Paranoid personlighedsstruktur
DF601	Skizoid personlighedsstruktur
DF602	Dyssocial personlighedsstruktur
DF603	Emotionelt ustabil personlighedsstruktur
DF6030	Emotionelt ustabil personlighedsstruktur af impulsiv type
DF6031	Emotionelt ustabil personlighedsstruktur af borderline type
DF604	Histrionisk personlighedsstruktur
DF605	Tvangspræget personlighedsstruktur
DF606	Ængstelig personlighedsstruktur
DF607	Dependent personlighedsstruktur
DF608	Anden forstyrrelse af personlighedsstrukturen
DF609	Forstyrrelse i personlighedsstrukturen UNS
DF61	Forstyrrelser i personlighedsstruktur af blandet og anden type
DF610	Forstyrrelse i personlighedsstruktur af blandet type
DF611	Personlighedsændring ved primær affektiv lidelse eller angsttilstand
DF62	Ikke-organiske personlighedsændringer
DF620	Personlighedsændring efter katastrofeoplevelse
DF621	Personlighedsændring efter psykisk sygdom
DF628	Anden personlighedsændring
DF629	Personlighedsændring UNS
DF63	Patologiske vane- og impulshandlinger
DF630	Patologisk spillelidenskab
DF631	Pyromani
DF632	Kleptomani
DF633	Trikotillomani
DF638	Anden patologisk vane- og impulshandling
DF639	Patologisk vane- og impulshandling UNS
DF65	Seksuelle afvigelser
DF650	Fetichisme
DF652	Exhibitionisme
DF653	Voyeurisme
DF654	Pædofili
DF656	Blandet seksuel afvigelser
DF658	Anden seksuel afvigelse
DF659	Seksuel afvigelse UNS
DF66	Seksuelle udviklings- og orienteringsforstyrrelser
DF660	Seksuel modningsforstyrrelse
DF661	Egodyston seksualorientering
DF662	Seksuel forholdsforstyrrelse
DF668	Anden psykoseksuel udviklingsforstyrrelse
DF669	Psykoseksuel udviklingsforstyrrelse UNS
DF68	Andre forstyrrelser i personlighedsstruktur og adfærd hos voksne
DF680	Psykisk udbygning af somatiske symptomer
DF681	Sygdomsefterligning helt eller delvist bevidst
DF681A	Secretans syndrom
DF681B	Patomimi
DF681C	Selvmutilation UNS
DF681D	Münchhausens syndrom
DF688	Anden forstyrrelse i personlighed, struktur og adfærd hos voksen
DF69	Forstyrrelser i personlighedsstruktur og adfærd uden nærmere specificering
DF699	Forstyrrelse i personlighedsstruktur og adfærd UNS
	Mental retardering [DF70-DF79]
DF70	Mental retardering af lettere grad
DF700	Lettere mental retardering med ringe påvirkning af adfærd
DF701	Lettere mental retardering med væsentlig påvirkning af adfærd
DF708	Lettere mental retardering med anden påvirkning af adfærd
DF709	Lettere mental retardering med påvirkning af adfærd UNS
DF71	Mental retardering af middelsvær grad
DF710	Middelsvær mental retardering med ringe påvirkning af adfærd
DF711	Middelsvær mental retardering med væsentlig påvirkning af adfærd
DF718	Middelsvær mental retardering med anden påvirkning af adfærd
DF719	Middelsvær mental retardering med påvirkning af adfærd UNS
DF72	Mental retardering af sværere grad
DF720	Sværere mental retardering med ringe påvirkning af adfærd
DF721	Sværere mental retardering med væsentlig påvirkning af adfærd
DF728	Sværere mental retardering med anden påvirkning af adfærd
DF729	Sværere mental retardering med påvirkning af adfærd UNS
DF73	Mental retardering i sværeste grad
DF730	Mental retardering i sværeste grad med ringe påvirkning af adfærd
DF731	Mental retardering i sværeste grad med væsentlig påvirkning af adfærd
DF738	Mental retardering i sværeste grad med med anden påvirkning af adfærd
DF739	Mental retardering i sværeste grad med påvirkning af adfærd UNS
DF78	Anden mental retardering
DF780	Anden mental retardering med ringe påvirkning af adfærd
DF781	Anden mental retardering med væsentlig påvirkning af adfærd
DF788	Anden mental retardering med anden påvirkning af adfærd
DF789	Anden mental retardering med påvirkning af adfærd UNS
DF79	Mental retardering uden nærmere specificering
DF790	Mental retardering UNS med ringe påvirkning af adfærd
DF791	Mental retardering UNS med væsentlig påvirkning af adfærd
DF798	Mental retardering UNS med anden påvirkning af adfærd
DF799	Mental retardering UNS
	Psykiske udviklingsforstyrrelser [DF80-DF89]
DF80	Specifikke udviklingsforstyrrelser af tale og sprog
DF800	Specifik sprogartikulationsforstyrrelse
DF801	Ekspressiv dysfasi
DF802	Impressiv dysfasi
DF803	Epileptisk afasi
DF808	Anden udviklingsforstyrrelse af tale eller sprog
DF809	Udviklingsforstyrrelse af tale og sprog UNS
DF809A	Verbal dyspraksi
DF81	Specifikke udviklingsforstyrrelser af skolefærdigheder
DF810	Specifik læseforstyrrelse
DF811	Specifik staveforstyrrelse
DF812	Specifik regneforstyrrelse
DF813	Blandet udviklingsforstyrrelse af skolefærdigheder
DF818	Anden udviklingsforstyrrelse af skolefærdigheder
DF819	Udviklingsforstyrrelse af skolefærdigheder UNS
DF82	Specifikke udviklingsforstyrrelser af motoriske færdigheder
DF829	Specifik udviklingsforstyrrelse af motoriske færdigheder
DF829A	Oral dyspraksi
DF83	Blandede udviklingsforstyrrelser af specifikke færdigheder
DF839	Blandet udviklingsforstyrrelse af specifikke færdigheder
DF84	Gennemgribende mentale udviklingsforstyrrelser
DF840	Infantil autisme
DF841	Atypisk autisme
DF8410	Autisme atypisk med hensyn til begyndelsesalder
DF8411	Autisme atypisk med hensyn til symptomatologi
DF8412	Autisme atypisk med hensyn til både begyndelsesalder og symptomatologi
DF842	Retts syndrom
DF843	Anden disintegrativ forstyrrelse i barndommen
DF844	Hyperaktivitetsforstyrrelse med mental retardering og bevægelsesstereotypier
DF845	Aspergers syndrom
DF848	Anden gennemgribende mental udviklingsforstyrrelse
DF849	Gennemgribende mental udviklingsforstyrrelse UNS
DF88	Andre psykiske udviklingsforstyrrelser
DF889	Psykisk udviklingsforstyrrelse IKA
DF89	Psykiske udviklingsforstyrrelser uden nærmere specificering
DF899	Psykisk udviklingsforstyrrelse UNS
	Adfærds- og følelsesmæssige forstyrrelser sædvanligvis opstået i barndom eller adolescens [DF90-DF98]
DF90	Hyperkinetiske forstyrrelser
DF900	Forstyrrelse af aktivitet og opmærksomhed
DF901	Hyperkinetisk adfærdsforstyrrelse
DF908	Anden hyperkinetisk forstyrrelse
DF909	Hyperkinetisk forstyrrelse UNS
DF91	Adfærdsforstyrrelser
DF910	Adfærdsforstyrrelse begrænset til familien
DF911	Usocialiseret adfærdsforstyrrelse
DF912	Socialiseret adfærdsforstyrrelse
DF913	Oppositionel adfærdsforstyrrelse
DF918	Anden adfærdsforstyrrelse
DF919	Adfærdsforstyrrelse UNS
DF92	Blandede adfærds- og følelsesmæssige forstyrrelser
DF920	Depressiv adfærdsforstyrrelse
DF928	Andre blandede adfærds- og følelsesmæssig forstyrrelser
DF929	Blandet adfærds- og følelsesmæssig forstyrrelse UNS
DF93	Emotionelle forstyrrelser opstået i barndommen
DF930	Abnorm separationsangst i barndom
DF931	Fobisk angsttilstand i barndom
DF932	Socialangsttilstand i barndom
DF933	Overdreven søskendejalousi
DF938	Anden emotionel forstyrrelse i barndom
DF9380	Generel angsttilstand i barndommen
DF939	Emotionel forstyrrelse i barndom UNS
DF94	Sociale funktionsforstyrrelser i barndom og adolescens
DF940	Elektiv mutisme
DF941	Reaktiv tilknytningsforstyrrelse i barndom
DF942	Uselektiv, uhæmmet tilknytnings- eller kontaktform
DF948	Anden social funktionsforstyrrelse
DF949	Social funktionsforstyrrelse UNS
